id;name;description;consequences;examples;parameters
1;Clashes with steering wheel ride-down;;;;
2;Firewall intrusions;;;;
3;Unit deformability;;;;
4;Attachment position;;;;
5;Unit volume;;;;
6;Accessibility;;;;
7;Inspectability;;;;
8;Reparability;;;;
9;Maintenance complexity;;;;
10;Updatability;;;;
11;Field of View (FoV);;;;
12;Eyebox size;;;;
13;Reflections/Glare;;;;
14;Image contrast;;;;
15;Image sharpness;;;;
16;Windscreen optical parameters;;;;
17;Projector brightness;;;;
18;Attachment dampening;;;;
19;Projected View distance;;;;
20;Eyebox position;;;;
21;User height range;;;;
22;External materials;;;;
23;External shape;;;;
24;Windscreen shape;;;;
25;Electricity consumption;;;;
26;Energy consumption;;;;
27;Drag;;;;
28;Noise;;;;
